Country,Countryid,Device,Delta,,rho0,rho0se,,rho1,rho1se,noobs,Threshold,Transactioncost
CZ,7,iPad Pro Large,36,0,-0.155,0.166,1,-1.01,0.062,278,0.0539,0.21
DE,8,iPad Pro Large,36,0,-0.677,0.106,1,-1.239,0.071,278,0.0465,0.19
DK,9,iPad Pro Large,36,0,-0.113,0.317,1,-1.242,0.061,278,0.024,0.25
ES,10,iPad Pro Large,36,0,0.131,0.249,1,-1.1,0.06,278,0.0253,0.21
FI,11,iPad Pro Large,36,0,-0.875,0.089,1,-1.32,0.079,278,0.0531,0.24
FR,12,iPad Pro Large,36,0,-0.658,0.116,1,-1.236,0.069,278,0.0421,0.2
HK,13,iPad Pro Large,36,0,0.069,0.016,1,-1.534,0.032,278,0.0302,0
HU,14,iPad Pro Large,36,0,-1.251,0.107,1,-0.929,0.077,278,0.0581,0.27
IE,15,iPad Pro Large,36,0,-0.865,0.091,1,-1.279,0.079,278,0.0537,0.23
IT,16,iPad Pro Large,36,0,-0.654,0.114,1,-1.243,0.069,278,0.0422,0.22
JP,17,iPad Pro Large,36,0,-1.271,0.048,1,,,278,,0
KR,18,iPad Pro Large,36,0,-1.136,0.056,1,,,278,,0.1
LU,19,iPad Pro Large,36,0,-0.628,0.115,1,-1.232,0.068,278,0.0419,0.17
MX,20,iPad Pro Large,36,0,-0.656,0.074,1,-1.464,0.08,278,0.0958,0.16
MY,21,iPad Pro Large,36,0,-1.796,0.077,1,-1.245,0.051,278,0.0464,0.082038217
NL,22,iPad Pro Large,36,0,-0.752,0.096,1,-1.285,0.075,278,0.0513,0.21
NO,23,iPad Pro Large,36,0,-0.532,0.092,1,-1.136,0.075,278,0.0827,0.25
NZ,24,iPad Pro Large,36,0,-1.041,0.059,1,,,278,,0.15
PH,25,iPad Pro Large,36,0,1.234,0.168,1,-0.802,0.048,278,0.0446,0.12
PL,26,iPad Pro Large,36,0,-0.586,0.097,1,-1.019,0.075,278,0.0745,0.23
PT,27,iPad Pro Large,36,0,-0.852,0.089,1,-1.319,0.079,278,0.0534,0.23
RU,28,iPad Pro Large,36,0,-8.189,1.966,1,-1.241,0.05,278,0.0094,0.19
SE,29,iPad Pro Large,36,0,-1.384,0.1,1,-0.836,0.074,278,0.0662,0.25
SG,30,iPad Pro Large,36,0,-2.991,0.694,1,-1.088,0.058,278,0.0061,0.07
TH,31,iPad Pro Large,36,0,0.026,0.217,1,-1.324,0.073,278,0.0238,0.07
TR,32,iPad Pro Large,36,0,-1.867,0.119,1,-1.141,0.067,278,0.0909,0.18
TW,33,iPad Pro Large,36,0,0.078,0.119,1,-0.498,0.053,278,0.0332,0.05
UK,34,iPad Pro Large,36,0,-0.237,0.129,1,-1.163,0.062,278,0.0477,0.2
AE,1,iPad Pro Small,36,0,-0.817,0.057,1,-0.21,0.056,266,0.0277,0.033280255
AT,2,iPad Pro Small,36,0,-0.669,0.103,1,-1.226,0.075,266,0.0473,0.2
AU,3,iPad Pro Small,36,0,-0.285,0.214,1,-1.237,0.061,266,0.038,0.1
BE,4,iPad Pro Small,36,0,-0.665,0.096,1,-1.29,0.077,266,0.0495,0.21
BR,5,iPad Pro Small,36,0,-0.334,0.094,1,-0.71,0.06,266,0.1237,0.2925
CA,6,iPad Pro Small,36,0,-1.869,0.183,1,-0.666,0.058,266,0.0362,0.05
CZ,7,iPad Pro Small,36,0,0.077,0.213,1,-0.952,0.062,266,0.0426,0.21
DE,8,iPad Pro Small,36,0,-3.436,0.735,1,-1.031,0.061,266,0.0139,0.19
DK,9,iPad Pro Small,36,0,-0.686,0.097,1,-1.302,0.075,266,0.0542,0.25
ES,10,iPad Pro Small,36,0,-0.638,0.104,1,-1.259,0.073,266,0.0471,0.21
FI,11,iPad Pro Small,36,0,-0.684,0.094,1,-1.286,0.078,266,0.0493,0.24
FR,12,iPad Pro Small,36,0,-0.69,0.101,1,-1.282,0.075,266,0.0475,0.2
HK,13,iPad Pro Small,36,0,0.115,0.04,1,-1.274,0.053,266,0.0303,0
HU,14,iPad Pro Small,36,0,-0.948,0.064,1,,,266,,0.27
IE,15,iPad Pro Small,36,0,-0.604,0.107,1,-1.22,0.074,266,0.0431,0.23
IT,16,iPad Pro Small,36,0,-0.621,0.103,1,-1.263,0.074,266,0.0468,0.22
JP,17,iPad Pro Small,36,0,-3.121,0.92,1,-0.895,0.064,266,0.0121,0
KR,18,iPad Pro Small,36,0,-3.159,0.549,1,-1.113,0.061,266,0.0112,0.1
LU,19,iPad Pro Small,36,0,-0.665,0.096,1,-1.29,0.077,266,0.0495,0.17
MX,20,iPad Pro Small,36,0,-0.785,0.085,1,-1.447,0.071,266,0.0849,0.16
MY,21,iPad Pro Small,36,0,0.115,0.189,1,-1.279,0.054,266,0.0276,0.082038217
NL,22,iPad Pro Small,36,0,-0.663,0.096,1,-1.29,0.077,266,0.0493,0.21
NO,23,iPad Pro Small,36,0,-0.523,0.082,1,-1.244,0.069,266,0.075,0.25
NZ,24,iPad Pro Small,36,0,-0.398,0.244,1,-1.138,0.062,266,0.0303,0.15
PH,25,iPad Pro Small,36,0,-0.21,0.074,1,-1.118,0.071,266,0.0691,0.12
PL,26,iPad Pro Small,36,0,-0.549,0.104,1,-1.029,0.076,266,0.0662,0.23
PT,27,iPad Pro Small,36,0,-0.684,0.094,1,-1.286,0.078,266,0.0493,0.23
RU,28,iPad Pro Small,36,0,-0.168,0.213,1,-1.283,0.061,266,0.0429,0.19
SE,29,iPad Pro Small,36,0,-1.11,0.061,1,,,266,,0.25
SG,30,iPad Pro Small,36,0,-1.197,0.061,1,,,266,,0.07
TH,31,iPad Pro Small,36,0,2.504,0.636,1,-1.157,0.065,266,0.0112,0.07
TR,32,iPad Pro Small,36,0,-1.786,0.12,1,-1.13,0.07,266,0.0901,0.18
TW,33,iPad Pro Small,36,0,-0.548,0.055,1,,,266,,0.05
UK,34,iPad Pro Small,36,0,-0.077,0.179,1,-0.998,0.06,266,0.0361,0.2
AE,1,iPad,36,0,-2.106,0.159,1,-0.306,0.029,278,0.0173,0.033280255
AT,2,iPad,36,0,0.098,0.124,1,-1.068,0.052,278,0.0647,0.2
AU,3,iPad,36,0,-0.686,0.072,1,-0.927,0.071,278,0.0916,0.1
BE,4,iPad,36,0,-0.087,0.107,1,-1.089,0.054,278,0.0719,0.21
BR,5,iPad,36,0,-0.776,0.064,1,-1.097,0.071,278,0.1514,0.2925
CA,6,iPad,36,0,-1.278,0.093,1,-0.814,0.047,278,0.0704,0.05
CZ,7,iPad,36,0,-0.304,0.109,1,-1.186,0.06,278,0.089,0.21
DE,8,iPad,36,0,0.162,0.139,1,-1.106,0.054,278,0.0638,0.19
DK,9,iPad,36,0,-0.116,0.221,1,-1.021,0.046,278,0.032,0.25
ES,10,iPad,36,0,0.799,0.153,1,-0.552,0.045,278,0.1758,0.21
FI,11,iPad,36,0,-0.152,0.101,1,-1.098,0.055,278,0.0748,0.24
FR,12,iPad,36,0,-0.066,0.108,1,-1.091,0.054,278,0.0719,0.2
HK,13,iPad,36,0,-0.656,0.063,1,-0.226,0.056,278,0.0103,0
HU,14,iPad,36,0,-0.574,0.094,1,-1.163,0.064,278,0.1124,0.27
IE,15,iPad,36,0,-0.234,0.088,1,-1.161,0.057,278,0.0826,0.23
IT,16,iPad,36,0,-0.109,0.106,1,-1.092,0.054,278,0.0722,0.22
JP,17,iPad,36,0,-2.429,0.331,1,-1.074,0.052,278,0.0205,0
KR,18,iPad,36,0,-1.482,0.161,1,-0.927,0.046,278,0.0359,0.1
LU,19,iPad,36,0,-0.109,0.106,1,-1.092,0.054,278,0.0722,0.17
MX,20,iPad,36,0,-0.713,0.093,1,-1.171,0.067,278,0.1081,0.16
MY,21,iPad,36,0,-0.258,0.166,1,-1.13,0.054,278,0.0406,0.082038217
NL,22,iPad,36,0,-0.099,0.106,1,-1.091,0.054,278,0.0717,0.21
NO,23,iPad,36,0,-0.658,0.087,1,-1.1,0.064,278,0.0813,0.25
NZ,24,iPad,36,0,-0.725,0.057,1,,,278,,0.15
PH,25,iPad,36,0,1.206,0.201,1,-0.607,0.043,278,0.02,0.12
PL,26,iPad,36,0,-0.905,0.051,1,,,278,,0.23
PT,27,iPad,36,0,0.204,0.139,1,-1.034,0.052,278,0.0628,0.23
RU,28,iPad,36,0,0.394,0.295,1,-1.059,0.048,278,0.0326,0.19
SE,29,iPad,36,0,0.648,0.167,1,-1.025,0.05,278,0.0586,0.25
SG,30,iPad,36,0,-0.375,0.072,1,-0.856,0.054,278,0.0575,0.07
TH,31,iPad,36,0,-0.991,0.051,1,,,278,,0.07
TR,32,iPad,36,0,-1.165,0.061,1,,,278,,0.18
TW,33,iPad,36,0,-0.306,0.11,1,-0.974,0.048,278,0.0264,0.05
UK,34,iPad,36,0,-0.014,0.159,1,-0.955,0.056,278,0.0465,0.2
AE,1,iPad Mini,36,0,7.221,0.921,1,-0.569,0.04,278,0.0026,0.033280255
AT,2,iPad Mini,36,0,-0.482,0.082,1,-1.41,0.066,278,0.0938,0.2
AU,3,iPad Mini,36,0,1.194,0.523,1,-0.967,0.058,278,0.0185,0.1
BE,4,iPad Mini,36,0,-0.508,0.086,1,-1.399,0.066,278,0.0816,0.21
BR,5,iPad Mini,36,0,-1.015,0.173,1,-0.346,0.057,278,0.1164,0.2925
CA,6,iPad Mini,36,0,-0.427,0.149,1,-0.966,0.055,278,0.0572,0.05
CZ,7,iPad Mini,36,0,-0.203,0.118,1,-1.292,0.06,278,0.0796,0.21
DE,8,iPad Mini,36,0,-0.167,0.14,1,-1.421,0.089,278,0.0715,0.19
DK,9,iPad Mini,36,0,0.043,0.17,1,-1.074,0.058,278,0.0462,0.25
ES,10,iPad Mini,36,0,-0.465,0.084,1,-1.4,0.064,278,0.0935,0.21
FI,11,iPad Mini,36,0,-0.553,0.09,1,-1.405,0.068,278,0.0758,0.24
FR,12,iPad Mini,36,0,-0.504,0.087,1,-1.394,0.066,278,0.0819,0.2
HK,13,iPad Mini,36,0,0.399,0.072,1,-0.445,0.043,278,0.0197,0
HU,14,iPad Mini,36,0,-0.574,0.102,1,-0.975,0.073,278,0.1264,0.27
IE,15,iPad Mini,36,0,-0.49,0.094,1,-1.393,0.066,278,0.0772,0.23
IT,16,iPad Mini,36,0,-0.508,0.086,1,-1.399,0.066,278,0.0816,0.22
JP,17,iPad Mini,36,0,-0.469,0.122,1,-1.006,0.069,278,0.0416,0
KR,18,iPad Mini,36,0,-0.42,0.076,1,-0.73,0.073,278,0.0718,0.1
LU,19,iPad Mini,36,0,-0.508,0.086,1,-1.399,0.066,278,0.0817,0.17
MX,20,iPad Mini,36,0,-0.918,0.05,1,,,278,,0.16
MY,21,iPad Mini,36,0,0.001,0.102,1,-1.04,0.055,278,0.0856,0.082038217
NL,22,iPad Mini,36,0,-0.51,0.086,1,-1.4,0.066,278,0.0814,0.21
NO,23,iPad Mini,36,0,-0.271,0.137,1,-1.046,0.067,278,0.0618,0.25
NZ,24,iPad Mini,36,0,-0.697,0.08,1,-1.116,0.09,278,0.0624,0.15
PH,25,iPad Mini,36,0,3.274,0.715,1,-0.684,0.057,278,0.0107,0.12
PL,26,iPad Mini,36,0,-0.382,0.157,1,-0.915,0.062,278,0.0767,0.23
PT,27,iPad Mini,36,0,-0.553,0.09,1,-1.405,0.068,278,0.0758,0.23
RU,28,iPad Mini,36,0,0.013,0.303,1,-1.263,0.055,278,0.0315,0.19
SE,29,iPad Mini,36,0,0.042,0.14,1,-1.144,0.058,278,0.0778,0.25
SG,30,iPad Mini,36,0,0.167,0.467,1,-1.051,0.058,278,0.0087,0.07
TH,31,iPad Mini,36,0,-1.157,0.087,1,-0.53,0.057,278,0.0502,0.07
TR,32,iPad Mini,36,0,-0.64,0.2,1,-1.206,0.064,278,0.0663,0.18
TW,33,iPad Mini,36,0,-0.005,0.164,1,-0.662,0.058,278,0.025,0.05
UK,34,iPad Mini,36,0,-0.334,0.065,1,-1.315,0.067,278,0.1178,0.2
AE,1,iPad Pro Large,48,0,2.923,0.2,1,-0.588,0.035,266,0.0117,0.033280255
AT,2,iPad Pro Large,48,0,-0.663,0.166,1,-1.435,0.061,266,0.033,0.2
AU,3,iPad Pro Large,48,0,-1,0.102,1,-1.627,0.072,266,0.0593,0.1
BE,4,iPad Pro Large,48,0,-0.726,0.157,1,-1.488,0.06,266,0.0317,0.21
BR,5,iPad Pro Large,48,0,-0.538,0.087,1,-0.993,0.07,266,0.1285,0.2925
CA,6,iPad Pro Large,48,0,-1.711,0.168,1,-0.916,0.065,266,0.0351,0.05
CZ,7,iPad Pro Large,48,0,-0.248,0.206,1,-1.242,0.061,266,0.0412,0.21
DE,8,iPad Pro Large,48,0,-0.743,0.155,1,-1.468,0.061,266,0.0338,0.19
DK,9,iPad Pro Large,48,0,-1.46,0.059,1,,,266,,0.25
ES,10,iPad Pro Large,48,0,-0.684,0.165,1,-1.429,0.061,266,0.0329,0.21
FI,11,iPad Pro Large,48,0,-0.935,0.152,1,-1.497,0.06,266,0.0326,0.24
FR,12,iPad Pro Large,48,0,-0.725,0.157,1,-1.489,0.06,266,0.0318,0.2
HK,13,iPad Pro Large,48,0,0.095,0.03,1,-1.38,0.045,266,0.0289,0
HU,14,iPad Pro Large,48,0,-1.633,0.104,1,-0.953,0.074,266,0.0581,0.27
IE,15,iPad Pro Large,48,0,-0.944,0.17,1,-1.455,0.06,266,0.0311,0.23
IT,16,iPad Pro Large,48,0,-0.729,0.158,1,-1.489,0.06,266,0.0317,0.22
JP,17,iPad Pro Large,48,0,-1.431,0.086,1,-1.057,0.063,266,0.0829,0
KR,18,iPad Pro Large,48,0,-1.63,0.117,1,-1.02,0.066,266,0.0381,0.1
LU,19,iPad Pro Large,48,0,-0.743,0.158,1,-1.486,0.06,266,0.0313,0.17
MX,20,iPad Pro Large,48,0,-4.013,1.032,1,-1.092,0.056,266,0.0132,0.16
MY,21,iPad Pro Large,48,0,-0.613,0.221,1,-1.417,0.047,266,0.0204,0.082038217
NL,22,iPad Pro Large,48,0,-0.755,0.159,1,-1.486,0.06,266,0.0312,0.21
NO,23,iPad Pro Large,48,0,-0.306,0.128,1,-1.346,0.066,266,0.0571,0.25
NZ,24,iPad Pro Large,48,0,-1.427,0.096,1,-0.968,0.093,266,0.0721,0.15
PH,25,iPad Pro Large,48,0,0.393,0.145,1,-0.851,0.057,266,0.0524,0.12
PL,26,iPad Pro Large,48,0,-0.06,0.367,1,-1.149,0.062,266,0.0244,0.23
PT,27,iPad Pro Large,48,0,-0.946,0.154,1,-1.499,0.06,266,0.0323,0.23
RU,28,iPad Pro Large,48,0,-1.947,0.14,1,-1.21,0.053,266,0.0521,0.19
SE,29,iPad Pro Large,48,0,-1.568,0.087,1,-0.899,0.091,266,0.0723,0.25
SG,30,iPad Pro Large,48,0,-1.037,0.061,1,,,266,,0.07
TH,31,iPad Pro Large,48,0,-1.32,0.126,1,-0.888,0.093,266,0.0387,0.07
TR,32,iPad Pro Large,48,0,-1.976,0.125,1,-0.99,0.067,266,0.0909,0.18
TW,33,iPad Pro Large,48,0,0.287,0.106,1,-0.539,0.052,266,0.0332,0.05
UK,34,iPad Pro Large,48,0,-0.188,0.211,1,-1.325,0.058,266,0.0279,0.2
AE,1,iPad Pro Small,48,0,-0.26,0.081,1,-0.854,0.052,254,0.0211,0.033280255
AT,2,iPad Pro Small,48,0,-0.924,0.118,1,-1.503,0.063,254,0.0413,0.2
AU,3,iPad Pro Small,48,0,0.329,0.319,1,-1.543,0.058,254,0.0277,0.1
BE,4,iPad Pro Small,48,0,-0.826,0.144,1,-1.5,0.059,254,0.0322,0.21
BR,5,iPad Pro Small,48,0,-0.481,0.097,1,-0.93,0.065,254,0.1259,0.2925
CA,6,iPad Pro Small,48,0,-1.392,0.14,1,-0.861,0.069,254,0.0467,0.05
CZ,7,iPad Pro Small,48,0,-0.193,0.219,1,-1.228,0.061,254,0.0426,0.21
DE,8,iPad Pro Small,48,0,-1.076,0.106,1,-1.466,0.068,254,0.0444,0.19
DK,9,iPad Pro Small,48,0,-1.067,0.092,1,-1.63,0.072,254,0.0528,0.25
ES,10,iPad Pro Small,48,0,-0.674,0.202,1,-1.43,0.059,254,0.028,0.21
FI,11,iPad Pro Small,48,0,-0.962,0.12,1,-1.513,0.063,254,0.0382,0.24
FR,12,iPad Pro Small,48,0,-0.901,0.141,1,-1.505,0.059,254,0.0328,0.2
HK,13,iPad Pro Small,48,0,0.176,0.067,1,-1.124,0.06,254,0.0287,0
HU,14,iPad Pro Small,48,0,-1.756,0.112,1,-0.909,0.069,254,0.0566,0.27
IE,15,iPad Pro Small,48,0,-1.01,0.114,1,-1.485,0.065,254,0.0397,0.23
IT,16,iPad Pro Small,48,0,-0.845,0.138,1,-1.51,0.06,254,0.0333,0.22
JP,17,iPad Pro Small,48,0,-1.301,0.133,1,-0.866,0.066,254,0.043,0
KR,18,iPad Pro Small,48,0,-5.847,1.405,1,-1.25,0.062,254,0.0064,0.1
LU,19,iPad Pro Small,48,0,-0.826,0.144,1,-1.5,0.059,254,0.0322,0.17
MX,20,iPad Pro Small,48,0,-1.205,0.048,1,,,254,,0.16
MY,21,iPad Pro Small,48,0,-0.076,0.184,1,-1.34,0.052,254,0.0276,0.082038217
NL,22,iPad Pro Small,48,0,-0.835,0.142,1,-1.502,0.06,254,0.0329,0.21
NO,23,iPad Pro Small,48,0,0.262,0.207,1,-1.228,0.057,254,0.0343,0.25
NZ,24,iPad Pro Small,48,0,-0.143,0.333,1,-1.374,0.069,254,0.0252,0.15
PH,25,iPad Pro Small,48,0,-0.314,0.084,1,-1.115,0.075,254,0.068,0.12
PL,26,iPad Pro Small,48,0,-1.138,0.063,1,,,254,,0.23
PT,27,iPad Pro Small,48,0,-0.962,0.12,1,-1.513,0.063,254,0.0382,0.23
RU,28,iPad Pro Small,48,0,2.683,1.575,1,-1.28,0.062,254,0.0116,0.19
SE,29,iPad Pro Small,48,0,-1.49,0.075,1,-1.178,0.099,254,0.0828,0.25
SG,30,iPad Pro Small,48,0,-1.296,0.052,1,,,254,,0.07
TH,31,iPad Pro Small,48,0,2.059,0.825,1,-1.092,0.067,254,0.0102,0.07
TR,32,iPad Pro Small,48,0,-2.101,0.172,1,-1.05,0.064,254,0.0646,0.18
TW,33,iPad Pro Small,48,0,-0.088,0.091,1,-0.553,0.063,254,0.0316,0.05
UK,34,iPad Pro Small,48,0,-0.617,0.166,1,-1.296,0.06,254,0.0361,0.2
AE,1,iPad,48,0,-2.263,0.183,1,-0.484,0.034,266,0.0173,0.033280255
AT,2,iPad,48,0,-1.316,0.069,1,-0.857,0.084,266,0.1248,0.2
AU,3,iPad,48,0,-0.813,0.081,1,-1.152,0.073,266,0.0895,0.1
BE,4,iPad,48,0,-1.315,0.068,1,-0.853,0.084,266,0.1247,0.21
BR,5,iPad,48,0,4.292,2.015,1,-0.988,0.047,266,0.0129,0.2925
CA,6,iPad,48,0,-1.782,0.093,1,-0.877,0.043,266,0.0692,0.05
CZ,7,iPad,48,0,0.8,0.564,1,-1.242,0.056,266,0.0393,0.21
DE,8,iPad,48,0,-0.002,0.273,1,-1.225,0.056,266,0.0396,0.19
DK,9,iPad,48,0,-1.646,0.085,1,-0.893,0.049,266,0.0761,0.25
ES,10,iPad,48,0,0.38,0.142,1,-0.59,0.051,266,0.2329,0.21
FI,11,iPad,48,0,-1.319,0.068,1,-0.837,0.083,266,0.1264,0.24
FR,12,iPad,48,0,-1.313,0.068,1,-0.857,0.084,266,0.1247,0.2
HK,13,iPad,48,0,-1.392,0.144,1,-0.492,0.051,266,0.0056,0
HU,14,iPad,48,0,0.335,0.511,1,-1.138,0.056,266,0.0267,0.27
IE,15,iPad,48,0,-1.345,0.068,1,-0.842,0.081,266,0.125,0.23
IT,16,iPad,48,0,-1.316,0.068,1,-0.852,0.084,266,0.1244,0.22
JP,17,iPad,48,0,-1.195,0.115,1,-0.715,0.058,266,0.0466,0
KR,18,iPad,48,0,-1.503,0.145,1,-0.867,0.048,266,0.0383,0.1
LU,19,iPad,48,0,-1.316,0.068,1,-0.852,0.084,266,0.1244,0.17
MX,20,iPad,48,0,-1.235,0.08,1,-0.895,0.075,266,0.1456,0.16
MY,21,iPad,48,0,-1.044,0.053,1,,,266,,0.082038217
NL,22,iPad,48,0,-1.314,0.068,1,-0.849,0.084,266,0.1249,0.21
NO,23,iPad,48,0,-0.776,0.088,1,-1.197,0.068,266,0.0862,0.25
NZ,24,iPad,48,0,-0.84,0.063,1,,,266,,0.15
PH,25,iPad,48,0,0.017,0.174,1,-0.565,0.047,266,0.0233,0.12
PL,26,iPad,48,0,-1.645,0.119,1,-0.922,0.055,266,0.1007,0.23
PT,27,iPad,48,0,-1.32,0.068,1,-0.843,0.084,266,0.1266,0.23
RU,28,iPad,48,0,-0.545,0.177,1,-1.17,0.051,266,0.0483,0.19
SE,29,iPad,48,0,2.087,0.574,1,-1.112,0.053,266,0.0269,0.25
SG,30,iPad,48,0,-2.277,0.583,1,-0.752,0.045,266,0.0121,0.07
TH,31,iPad,48,0,-1.378,0.07,1,-0.718,0.066,266,0.0819,0.07
TR,32,iPad,48,0,-1.508,0.135,1,-0.968,0.07,266,0.0906,0.18
TW,33,iPad,48,0,-0.411,0.117,1,-1.019,0.051,266,0.0264,0.05
UK,34,iPad,48,0,-0.293,0.308,1,-1.092,0.056,266,0.0275,0.2
AE,1,iPad Mini,48,0,8.546,0.971,1,-0.808,0.04,266,0.0026,0.033280255
AT,2,iPad Mini,48,0,-1.061,0.082,1,-1.546,0.068,266,0.1005,0.2
AU,3,iPad Mini,48,0,-1.204,0.063,1,,,266,,0.1
BE,4,iPad Mini,48,0,-1.095,0.09,1,-1.528,0.066,266,0.0816,0.21
BR,5,iPad Mini,48,0,-1.098,0.181,1,-0.489,0.061,266,0.1164,0.2925
CA,6,iPad Mini,48,0,-1.387,0.073,1,-0.923,0.067,266,0.0859,0.05
CZ,7,iPad Mini,48,0,0.374,0.363,1,-1.392,0.055,266,0.033,0.21
DE,8,iPad Mini,48,0,-1.035,0.135,1,-1.624,0.098,266,0.078,0.19
DK,9,iPad Mini,48,0,0.809,0.424,1,-1.273,0.056,266,0.0284,0.25
ES,10,iPad Mini,48,0,-1.071,0.088,1,-1.515,0.065,266,0.0935,0.21
FI,11,iPad Mini,48,0,-1.119,0.094,1,-1.538,0.066,266,0.0723,0.24
FR,12,iPad Mini,48,0,-1.113,0.088,1,-1.524,0.067,266,0.0905,0.2
HK,13,iPad Mini,48,0,-0.074,0.045,1,-1.461,0.091,266,0.0238,0
HU,14,iPad Mini,48,0,-1.052,0.063,1,,,266,,0.27
IE,15,iPad Mini,48,0,-1.101,0.097,1,-1.527,0.065,266,0.0772,0.23
IT,16,iPad Mini,48,0,-1.095,0.09,1,-1.528,0.066,266,0.0816,0.22
JP,17,iPad Mini,48,0,1.34,0.6,1,-0.735,0.062,266,0.0125,0
KR,18,iPad Mini,48,0,0.757,0.45,1,-0.689,0.055,266,0.0211,0.1
LU,19,iPad Mini,48,0,-1.095,0.09,1,-1.528,0.066,266,0.0817,0.17
MX,20,iPad Mini,48,0,-1.244,0.069,1,-0.839,0.07,266,0.1627,0.16
MY,21,iPad Mini,48,0,-0.711,0.069,1,-1.35,0.077,266,0.1509,0.082038217
NL,22,iPad Mini,48,0,-1.095,0.09,1,-1.529,0.066,266,0.0814,0.21
NO,23,iPad Mini,48,0,-0.457,0.239,1,-1.277,0.068,266,0.0384,0.25
NZ,24,iPad Mini,48,0,-0.759,0.082,1,-1.352,0.093,266,0.0624,0.15
PH,25,iPad Mini,48,0,2.836,0.736,1,-0.846,0.061,266,0.0107,0.12
PL,26,iPad Mini,48,0,-1.099,0.06,1,,,266,,0.23
PT,27,iPad Mini,48,0,-1.119,0.094,1,-1.538,0.066,266,0.0723,0.23
RU,28,iPad Mini,48,0,-2.779,0.4,1,-1.326,0.053,266,0.026,0.19
SE,29,iPad Mini,48,0,-1.052,0.073,1,-1.548,0.084,266,0.1278,0.25
SG,30,iPad Mini,48,0,-1.361,0.137,1,-0.969,0.064,266,0.0281,0.07
TH,31,iPad Mini,48,0,-1.038,0.074,1,-0.555,0.066,266,0.0574,0.07
TR,32,iPad Mini,48,0,0.281,0.32,1,-1.173,0.062,266,0.0449,0.18
TW,33,iPad Mini,48,0,-0.262,0.167,1,-0.907,0.071,266,0.0265,0.05
UK,34,iPad Mini,48,0,-0.793,0.064,1,-1.542,0.073,266,0.1305,0.2
