Country,Countryid,Device,Delta,,rho0,rho0se,,rho1,rho1se,noobs,Threshold,Transactioncost
IE,15,iPad Pro Small,12,0,-0.04,0.066,1,-0.485,0.052,290,0.0471,0.23
IT,16,iPad Pro Small,12,0,0.013,0.068,1,-0.465,0.05,290,0.0468,0.22
JP,17,iPad Pro Small,12,0,-0.445,0.05,1,,,290,,0
KR,18,iPad Pro Small,12,0,-1.742,0.267,1,-0.455,0.052,290,0.0166,0.1
LU,19,iPad Pro Small,12,0,0.013,0.069,1,-0.463,0.05,290,0.0465,0.17
MX,20,iPad Pro Small,12,0,-1.145,0.191,1,-0.49,0.053,290,0.0425,0.16
MY,21,iPad Pro Small,12,0,-0.436,0.046,1,,,290,,0.082038217
NL,22,iPad Pro Small,12,0,0.015,0.069,1,-0.467,0.05,290,0.0463,0.21
NO,23,iPad Pro Small,12,0,-0.254,0.059,1,-0.65,0.07,290,0.0852,0.25
NZ,24,iPad Pro Small,12,0,-0.258,0.108,1,-0.561,0.057,290,0.0512,0.15
PH,25,iPad Pro Small,12,0,0.034,0.041,1,-0.745,0.054,290,0.0815,0.12
PL,26,iPad Pro Small,12,0,-0.192,0.065,1,-0.492,0.065,290,0.0792,0.23
PT,27,iPad Pro Small,12,0,-0.012,0.065,1,-0.483,0.051,290,0.0486,0.23
RU,28,iPad Pro Small,12,0,-0.385,0.068,1,-0.77,0.08,290,0.0909,0.19
SE,29,iPad Pro Small,12,0,0.29,0.19,1,-0.383,0.045,290,0.034,0.25
SG,30,iPad Pro Small,12,0,-0.796,0.144,1,-0.406,0.052,290,0.018,0.07
TH,31,iPad Pro Small,12,0,1.471,0.438,1,-0.389,0.049,290,0.0125,0.07
TR,32,iPad Pro Small,12,0,3.175,1.518,1,-0.694,0.06,290,0.0142,0.18
TW,33,iPad Pro Small,12,0,-0.243,0.063,1,-0.567,0.07,290,0.0417,0.05
UK,34,iPad Pro Small,12,0,-0.334,0.043,1,,,290,,0.2
AE,1,iPad,12,0,-0.826,0.132,1,-0.091,0.023,302,0.0173,0.033280255
AT,2,iPad,12,0,-0.041,0.042,1,-0.762,0.046,302,0.1148,0.2
AU,3,iPad,12,0,-0.352,0.058,1,-0.809,0.06,302,0.0898,0.1
BE,4,iPad,12,0,-0.025,0.041,1,-0.759,0.045,302,0.1148,0.21
BR,5,iPad,12,0,-0.225,0.063,1,-0.9,0.055,302,0.135,0.2925
CA,6,iPad,12,0,-0.218,0.054,1,-0.764,0.037,302,0.0837,0.05
CZ,7,iPad,12,0,-0.177,0.05,1,-0.705,0.059,302,0.1564,0.21
DE,8,iPad,12,0,-0.022,0.045,1,-0.789,0.047,302,0.1138,0.19
DK,9,iPad,12,0,-0.237,0.06,1,-0.848,0.044,302,0.0809,0.25
ES,10,iPad,12,0,0.295,0.12,1,-0.247,0.033,302,0.1758,0.21
FI,11,iPad,12,0,-0.033,0.039,1,-0.785,0.045,302,0.1209,0.24
FR,12,iPad,12,0,-0.025,0.041,1,-0.759,0.045,302,0.1148,0.2
HK,13,iPad,12,0,1.159,0.458,1,-0.154,0.026,302,0.0019,0
HU,14,iPad,12,0,-0.25,0.059,1,-0.759,0.06,302,0.1409,0.27
IE,15,iPad,12,0,-0.02,0.042,1,-0.748,0.044,302,0.1163,0.23
IT,16,iPad,12,0,-0.024,0.041,1,-0.759,0.044,302,0.1151,0.22
JP,17,iPad,12,0,-0.493,0.083,1,-0.906,0.061,302,0.0544,0
KR,18,iPad,12,0,-0.463,0.058,1,-0.747,0.048,302,0.0619,0.1
LU,19,iPad,12,0,-0.024,0.041,1,-0.759,0.044,302,0.115,0.17
MX,20,iPad,12,0,-0.277,0.066,1,-0.695,0.057,302,0.1126,0.16
MY,21,iPad,12,0,-0.169,0.077,1,-0.857,0.053,302,0.0872,0.082038217
NL,22,iPad,12,0,-0.027,0.041,1,-0.757,0.045,302,0.1146,0.21
NO,23,iPad,12,0,-0.241,0.063,1,-1.011,0.052,302,0.0862,0.25
NZ,24,iPad,12,0,-1.252,0.203,1,-0.566,0.052,302,0.0295,0.15
PH,25,iPad,12,0,-0.09,0.06,1,-0.743,0.052,302,0.0543,0.12
PL,26,iPad,12,0,-0.241,0.062,1,-0.72,0.051,302,0.1509,0.23
PT,27,iPad,12,0,-0.033,0.039,1,-0.784,0.046,302,0.1207,0.23
RU,28,iPad,12,0,-0.417,0.058,1,-1.217,0.068,302,0.0984,0.19
SE,29,iPad,12,0,0.209,0.071,1,-0.639,0.04,302,0.0871,0.25
SG,30,iPad,12,0,-0.076,0.046,1,-0.614,0.039,302,0.0673,0.07
TH,31,iPad,12,0,-0.303,0.056,1,-0.585,0.052,302,0.072,0.07
TR,32,iPad,12,0,-0.412,0.081,1,-1.044,0.075,302,0.1234,0.18
TW,33,iPad,12,0,-0.269,0.052,1,-0.675,0.039,302,0.0408,0.05
UK,34,iPad,12,0,0.366,0.096,1,-0.638,0.041,302,0.0528,0.2
